LSOA_code,T_Econ,Inactive,Unemp,LSOA_code,T_Qual,No_qual,Level4_qual,LSOA_code,T_Ethnic,Asian,Black,LSOA_code,T_Not_UK,Not_UK,LSOA_code,T_Occupation,Higher,Lower,LSOA_code,T_Over,Overcrowded,LSOA_code,T_Tenure,Owned,Social
E01006512,2265,1431,186,E01006512,2266,113,612,E01006512,2266,349,100,E01006512,2266,597,E01006512,2263,287,215,E01006512,544,20,E01006512,544,126,119
E01006514,2547,1533,173,E01006514,2547,195,875,E01006514,2550,316,72,E01006514,2546,569,E01006514,2549,433,234,E01006514,769,14,E01006514,767,124,390
E01006518,1835,823,88,E01006518,1835,597,333,E01006518,1834,169,119,E01006518,1839,364,E01006518,1836,210,282,E01006518,815,74,E01006518,814,197,442
E01006519,1314,437,22,E01006519,1312,123,582,E01006519,1315,24,8,E01006519,1313,71,E01006519,1314,399,126,E01006519,522,6,E01006519,522,469,15
E01006520,1567,432,67,E01006520,1565,184,848,E01006520,1569,37,34,E01006520,1565,199,E01006520,1566,637,204,E01006520,1060,11,E01006520,1059,228,272
E01006521,1564,605,64,E01006521,1564,218,689,E01006521,1567,72,39,E01006521,1563,234,E01006521,1565,462,176,E01006521,899,13,E01006521,897,379,217
E01006522,1717,482,88,E01006522,1716,192,960,E01006522,1716,45,50,E01006522,1716,263,E01006522,1716,681,225,E01006522,1019,26,E01006522,1020,226,302
E01006523,1462,463,60,E01006523,1465,222,624,E01006523,1466,56,26,E01006523,1461,164,E01006523,1465,476,191,E01006523,806,12,E01006523,808,304,266
E01006524,1299,502,18,E01006524,1300,159,592,E01006524,1300,79,14,E01006524,1300,161,E01006524,1300,456,71,E01006524,641,8,E01006524,639,427,12
E01006525,1188,387,12,E01006525,1187,120,490,E01006525,1188,50,11,E01006525,1188,93,E01006525,1188,369,103,E01006525,472,3,E01006525,474,410,6
E01006526,1382,419,24,E01006526,1386,192,575,E01006526,1389,32,16,E01006526,1386,77,E01006526,1384,471,155,E01006526,639,3,E01006526,640,491,46
E01006527,1383,480,35,E01006527,1385,208,494,E01006527,1380,53,9,E01006527,1384,104,E01006527,1385,387,159,E01006527,650,12,E01006527,650,380,179
E01006528,1355,344,34,E01006528,1353,135,550,E01006528,1352,75,43,E01006528,1354,178,E01006528,1353,462,175,E01006528,571,8,E01006528,569,382,47
E01006529,1343,368,36,E01006529,1342,167,547,E01006529,1339,41,13,E01006529,1343,148,E01006529,1341,423,149,E01006529,534,12,E01006529,540,430,21
E01006530,1415,491,22,E01006530,1416,194,411,E01006530,1419,20,6,E01006530,1416,49,E01006530,1419,345,178,E01006530,603,5,E01006530,605,544,10
E01006531,1434,589,24,E01006531,1433,246,394,E01006531,1431,6,6,E01006531,1434,40,E01006531,1434,325,145,E01006531,656,8,E01006531,657,543,75
E01006532,1559,581,30,E01006532,1560,153,668,E01006532,1555,104,14,E01006532,1560,134,E01006532,1560,486,116,E01006532,617,8,E01006532,617,554,28
